210.4,3,399900
160,3,329900
240,3,369000
141.6,2,232000
300,4,539900
198.5,4,299900
153.4,3,314900
142.7,3,198999
138,3,212000
149.4,3,242500
194,4,239999
200,3,347000
189,3,329999
447.8,5,699900
126.8,3,259900
230,4,449900
132,2,299900
123.6,3,199900
260.9,4,499998
303.1,4,599000
176.7,3,252900
188.8,2,255000
160.4,3,242900
196.2,4,259900
389,3,573900
110,3,249900
145.8,3,464500
252.6,3,469000
220,3,475000
263.7,3,299900
183.9,2,349900
100,1,169900
204,4,314900
313.7,3,579900
181.1,4,285900
143.7,3,249900
123.9,3,229900
213.2,4,345000
421.5,4,549000
216.2,4,287000
166.4,2,368500
223.8,3,329900
256.7,4,314000
120,3,299000
85.2,2,179900
185.2,4,299900
120.3,3,239500
